"ID";"Type";"Name";"Documentation";"Specialization"
"id-e3d5d4f2bae7488d9171b19b6f5c368f";"ArchimateModel";"ReferenceModel_APQC_PFC";"";""
"id-b75256f89e514ac8ac15ddc21f4ec153";"BusinessProcess";"1.0 Develop Vision and Strategy";"";""
"id-531a58a9ea944f99be9a03f1d0d412cc";"BusinessProcess";"10.0 Acquire, Construct, and Manage Assets";"";""
"id-2a840ada37e84b928d96c6f19c6c21c9";"BusinessProcess";"11.0 Manage Enterprise Risk, Compliance, Remediation, and Resiliency";"";""
"id-fc68c669237d4d9e9c08b26527ca85a0";"BusinessProcess";"12.0 Manage External Relationships";"";""
"id-5171e0f58c984d048c3ff27322b2815a";"BusinessProcess";"13.0 Develop and Manage Business Capabilities";"";""
"id-98b406d35bd442babd1bb561dd0a5318";"BusinessProcess";"2.0 Develop and Manage Products and Services";"";""
"id-4ac59adf7ad449c99cfc20f133cc5353";"BusinessProcess";"3.0 Market and Sell Products and Services";"";""
"id-f8f38cf44d484c72a10220620d7dc5ef";"BusinessProcess";"4.0 Manage Supply Chain for Physical Products";"";""
"id-f5e28952f6534f51b4c58e68fb0bb881";"BusinessProcess";"5.0 Deliver Services";"";""
"id-7983f95cf90948a59365023001fb44fc";"BusinessProcess";"6.0 Manage Customer Service";"";""
"id-efaba8914bcd4d57a35c6a921e6fd1c7";"BusinessProcess";"7.0 Develop and Manage Human Capital";"";""
"id-9e6ca561bc7749199c1cda7b2bfcb7f4";"BusinessProcess";"8.0 Manage Information Technology (IT)";"";""
"id-3866610082ac42eba2f1c1803a4324fe";"BusinessProcess";"9.0 Manage Fiancial Resources";"";""
"id-b541bbbe6af74478827fcbdd560e5b33";"BusinessProcess";"Management and Support Processes";"";""
"id-c5360f69e1e84383ad9a80cab3f84b1f";"BusinessProcess";"Operating Processes";"";""
