"ID";"Type";"Name";"Documentation";"Source";"Target";"Specialization"
"id-113f231382154d08ab2462bf6fecf29f";"CompositionRelationship";"";"";"id-c5360f69e1e84383ad9a80cab3f84b1f";"id-b75256f89e514ac8ac15ddc21f4ec153";""
"id-4d39985e6ed3478582ae942668063819";"CompositionRelationship";"";"";"id-c5360f69e1e84383ad9a80cab3f84b1f";"id-98b406d35bd442babd1bb561dd0a5318";""
"id-776663db99b14299b58c6b1b5d56c9f6";"CompositionRelationship";"";"";"id-c5360f69e1e84383ad9a80cab3f84b1f";"id-4ac59adf7ad449c99cfc20f133cc5353";""
"id-3f133a5d2e024e2ebd59958ff7814e76";"CompositionRelationship";"";"";"id-c5360f69e1e84383ad9a80cab3f84b1f";"id-f8f38cf44d484c72a10220620d7dc5ef";""
"id-4a2103af269c429b8152a11d077941cb";"CompositionRelationship";"";"";"id-c5360f69e1e84383ad9a80cab3f84b1f";"id-f5e28952f6534f51b4c58e68fb0bb881";""
"id-aadcd0208262420d9124d749de460a65";"CompositionRelationship";"";"";"id-c5360f69e1e84383ad9a80cab3f84b1f";"id-7983f95cf90948a59365023001fb44fc";""
"id-220f098d700f4d1a8a4720563f8098b5";"CompositionRelationship";"";"";"id-b541bbbe6af74478827fcbdd560e5b33";"id-efaba8914bcd4d57a35c6a921e6fd1c7";""
"id-fde9fc3183f0438dbb9ff174090ed70c";"CompositionRelationship";"";"";"id-b541bbbe6af74478827fcbdd560e5b33";"id-9e6ca561bc7749199c1cda7b2bfcb7f4";""
"id-21cc124f64db4a1589fb8bf660b49058";"CompositionRelationship";"";"";"id-b541bbbe6af74478827fcbdd560e5b33";"id-3866610082ac42eba2f1c1803a4324fe";""
"id-fda9188e52964505b555de1a9b6a9e1f";"CompositionRelationship";"";"";"id-b541bbbe6af74478827fcbdd560e5b33";"id-531a58a9ea944f99be9a03f1d0d412cc";""
"id-e18cdb170182414d98a372aa2e6d837e";"CompositionRelationship";"";"";"id-b541bbbe6af74478827fcbdd560e5b33";"id-2a840ada37e84b928d96c6f19c6c21c9";""
"id-f44b254652654fd3b8f4993d23b12824";"CompositionRelationship";"";"";"id-b541bbbe6af74478827fcbdd560e5b33";"id-fc68c669237d4d9e9c08b26527ca85a0";""
"id-73787e212b654f1c9cff057cb201d310";"CompositionRelationship";"";"";"id-b541bbbe6af74478827fcbdd560e5b33";"id-5171e0f58c984d048c3ff27322b2815a";""
"id-cdcf8c917d2849c7a501cbeafe717b19";"ServingRelationship";"";"";"id-b541bbbe6af74478827fcbdd560e5b33";"id-c5360f69e1e84383ad9a80cab3f84b1f";""
